Iterações, Bubble Sort, Insertion Sort, Heap Sort, Merge Sort, Quick Sort, Radix Sort
1, 2, 1, 2, 0, 1, 86
2, 5, 3, 10, 8, 6, 103
3, 10, 7, 15, 18, 10, 120
4, 18, 12, 29, 28, 16, 137
5, 27, 18, 37, 40, 23, 154
6, 37, 25, 51, 52, 30, 171
7, 52, 33, 61, 64, 38, 188
8, 63, 41, 77, 76, 44, 205
9, 89, 55, 87, 90, 54, 222
10, 103, 63, 106, 104, 64, 239
11, 120, 74, 117, 118, 70, 256
12, 143, 83, 137, 132, 77, 273
13, 180, 106, 145, 146, 93, 290
14, 202, 113, 169, 160, 98, 307
15, 236, 126, 179, 174, 106, 324
16, 271, 142, 202, 188, 117, 341
17, 304, 162, 216, 204, 128, 358
18, 335, 181, 234, 220, 135, 375
19, 388, 215, 245, 236, 147, 392
20, 417, 232, 266, 252, 158, 409
21, 444, 236, 288, 268, 167, 426
22, 456, 227, 313, 284, 181, 443
23, 536, 263, 328, 300, 190, 460
24, 571, 278, 347, 316, 199, 477
25, 637, 304, 367, 332, 212, 494
26, 675, 320, 385, 348, 226, 511
27, 742, 342, 404, 364, 245, 528
28, 801, 377, 425, 380, 245, 545
29, 842, 403, 442, 396, 265, 562
30, 947, 434, 462, 412, 269, 579
31, 1018, 478, 479, 428, 295, 596
32, 1067, 501, 503, 444, 305, 613
33, 1133, 540, 517, 462, 319, 630
34, 1172, 557, 543, 480, 326, 647
35, 1264, 572, 560, 498, 324, 664
36, 1353, 638, 584, 516, 339, 681
37, 1479, 706, 597, 534, 354, 698
38, 1542, 741, 621, 552, 361, 715
39, 1610, 733, 645, 570, 383, 732
40, 1712, 813, 666, 588, 392, 749
41, 1815, 842, 684, 606, 387, 766
42, 1850, 873, 710, 624, 410, 783
43, 1918, 868, 729, 642, 436, 800
44, 2056, 948, 751, 660, 441, 817
45, 2151, 1000, 765, 678, 460, 834
46, 2285, 1050, 793, 696, 475, 851
47, 2392, 1063, 813, 714, 485, 868
48, 2543, 1127, 835, 732, 504, 885
49, 2559, 1168, 861, 750, 510, 902
50, 2708, 1205, 883, 768, 532, 919
51, 2823, 1259, 899, 786, 532, 936
52, 2975, 1348, 922, 804, 546, 953
53, 3039, 1391, 944, 822, 559, 970
54, 3195, 1439, 968, 840, 581, 987
55, 3313, 1525, 984, 858, 588, 1004
56, 3402, 1512, 1012, 876, 606, 1021
57, 3639, 1610, 1028, 894, 604, 1038
58, 3689, 1666, 1049, 912, 637, 1055
59, 3760, 1752, 1067, 930, 645, 1072
60, 3972, 1818, 1097, 948, 645, 1089
61, 4110, 1887, 1111, 966, 676, 1106
62, 4275, 1907, 1138, 984, 672, 1123
63, 4474, 1988, 1158, 1002, 708, 1140
64, 4473, 2019, 1182, 1020, 699, 1157
65, 4773, 2135, 1207, 1040, 707, 1174
66, 4795, 2170, 1230, 1060, 742, 1191
67, 5149, 2345, 1245, 1080, 755, 1208
68, 5067, 2304, 1282, 1100, 755, 1225
69, 5293, 2331, 1298, 1120, 790, 1242
70, 5440, 2358, 1322, 1140, 806, 1259
71, 5542, 2496, 1349, 1160, 807, 1276
72, 5787, 2524, 1374, 1180, 827, 1293
